address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Choice of chicken or steak, spinach, onions and city pizza white sauce",Gourmet Spinach Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Gyros meat, olives, onions, oregano, fresh tomatoes and feta cheese",Greek Combo Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Canadian bacon, pineapple and extra cheese",Hawaiian Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Pesto sauce, fresh tomatoes, shrimp and fresh garlic",Pesto Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,5.99,5.99,USD,2016-05-09T20:15:01Z,"With any three toppings, free. additional toppings 0.75 extra",Pizza Sandwich,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Green peppers, mushrooms, onions, olives, fresh tomatoes",Vegetarian Pizza,City Pizza,12010,,0,0,West Glenville
750 W High St,Pizza Place,Pottstown,US,us/pa/pottstown/750whighst/-628593384,40.2467435,-75.67882862,4.25,4.25,USD,2016-03-29T04:56:45Z,,Pizza Fries,Nick's Pizza,19464,,0,0,PA
4050 E 82nd St,Restaurant,Indianapolis,US,us/in/indianapolis/4050e82ndst/275205017,39.907755,-86.097478,16,16,USD,2016-08-23T00:00:00Z,,St. Elmo Prime Rib Pizza,Harry & Izzy's - Northside,46250,USD,0,30,IN
4050 E 82nd St,Restaurant,Indianapolis,US,us/in/indianapolis/4050e82ndst/275205017,39.907755,-86.097478,12,12,USD,2016-08-23T00:00:00Z,,Thin Crust Pizza,Harry & Izzy's - Northside,46250,USD,0,30,IN
283 U.S. 22,Diner,Califon,US,us/nj/califon/283us22/854809841,40.640364,-74.796613,5.49,5.49,USD,2016-03-27T05:29:06Z,,Pizza,Spinning Wheel Diner,7830,USD,0,25,NJ
